"College","Priority","Weight"
"Aurora University","Extracurricular activities",61
"Aurora University","Talent/ability",79
"Aurora University","Character/personal qualities",61
"Aurora University","First generation",97
"Aurora University","Alumni/ae relation",79
"Aurora University","Geographical residence",97
"Aurora University","State residency",97
"Aurora University","Religious affiliation/commitment",106
"Aurora University","Racial/ethnic status",106
"Aurora University","Volunteer work",89
"Aurora University","Work experience",89
"Aurora University","Level of applicant’s interest",89
"Austin College","Rigor of secondary school record",45
"Austin College","Class rank",83
"Austin College","Academic GPA",43
"Austin College","Standardized test scores",83
"Austin College","Application Essay",45
"Austin College","Recommendation(s)",83
"Austin College","Interview",83
"Austin College","Extracurricular activities",83
"Austin College","Talent/ability",83
"Austin College","Character/personal qualities",83
"Austin College","First generation",83
"Austin College","Alumni/ae relation",83
"Austin College","Geographical residence",101
"Austin College","State residency",101
"Austin College","Religious affiliation/commitment",101
"Austin College","Racial/ethnic status",101
"Austin College","Volunteer work",83
"Austin College","Work experience",83
"Austin College","Level of applicant’s interest",83
"Austin Peay State University","Rigor of secondary school record",80
"Austin Peay State University","Class rank",98
"Austin Peay State University","Academic GPA",42
"Austin Peay State University","Standardized test scores",44
"Austin Peay State University","Application Essay",98
"Austin Peay State University","Recommendation(s)",98
"Austin Peay State University","Interview",98
"Austin Peay State University","Extracurricular activities",98
"Austin Peay State University","Talent/ability",98
"Austin Peay State University","Character/personal qualities",98
"Austin Peay State University","First generation",104
"Austin Peay State University","Alumni/ae relation",104
"Austin Peay State University","Geographical residence",104
"Austin Peay State University","State residency",104
"Austin Peay State University","Religious affiliation/commitment",104
"Austin Peay State University","Racial/ethnic status",104
"Austin Peay State University","Volunteer work",104
"Austin Peay State University","Work experience",104
"Austin Peay State University","Level of applicant’s interest",104
"Baldwin Wallace University","Class rank",61
"Baldwin Wallace University","Academic GPA",43
"Baldwin Wallace University","Standardized test scores",79
"Baldwin Wallace University","Application Essay",61
"Baldwin Wallace University","Recommendation(s)",79
"Baldwin Wallace University","Interview",79
"Baldwin Wallace University","Extracurricular activities",61
"Baldwin Wallace University","Talent/ability",61
"Baldwin Wallace University","Character/personal qualities",61
"Baldwin Wallace University","First generation",79
"Baldwin Wallace University","Alumni/ae relation",79
"Baldwin Wallace University","Geographical residence",79
"Baldwin Wallace University","State residency",79
"Baldwin Wallace University","Religious affiliation/commitment",98
"Baldwin Wallace University","Racial/ethnic status",79
"Baldwin Wallace University","Volunteer work",79
"Baldwin Wallace University","Work experience",79
"Baldwin Wallace University","Level of applicant’s interest",79
"Ball State University","Class rank x",94
"Ball State University","Academic GPA x",61
"Ball State University","Standardized test scores x",77
"Ball State University","Application Essay x",77
"Ball State University","Recommendation(s) x",94
"Ball State University","Interview x",77
"Ball State University","Extracurricular activities x",94
"Ball State University","Talent/ability x",77
"Ball State University","Character/personal qualities x",94
"Ball State University","First generation x",94
"Ball State University","Alumni/ae relation x",94
"Ball State University","Geographical residence x",94
"Ball State University","State residency x",94
"Ball State University","Religious affiliation/commitment x",94
"Ball State University","Racial/ethnic status x",94
"Ball State University","Volunteer work x",94
"Ball State University","Work experience x",94
"Ball State University","Level of applicant’s interest x",94
"Barnard College","Rigor of secondary school record",53
"Barnard College","Class rank",72
"Barnard College","Academic GPA",52
"Barnard College","Standardized test scores",91
"Barnard College","Application Essay",53
"Barnard College","Recommendation(s)",53
"Barnard College","Interview",91
"Barnard College","Extracurricular activities",72
"Barnard College","Talent/ability",72
"Barnard College","Character/personal qualities",53
"Barnard College","First generation",91
"Barnard College","Alumni/ae relation",91
"Barnard College","Geographical residence",91
"Barnard College","State residency",110
"Barnard College","Religious affiliation/commitment",110
"Barnard College","Racial/ethnic status",91
"Barnard College","Volunteer work",72
"Barnard College","Work experience",72
"Barnard College","Level of applicant’s interest",91
"Baylor University","Rigor of secondary school record",45
"Baylor University","Class rank",80
"Baylor University","Academic GPA",45
"Baylor University","Standardized test scores",45
"Baylor University","Application Essay",64
"Baylor University","Recommendation(s)",80
"Baylor University","Interview",98
"Baylor University","Extracurricular activities",80
"Baylor University","Talent/ability",80
"Baylor University","Character/personal qualities",80
"Baylor University","First generation",98
"Baylor University","Alumni/ae relation",80
"Baylor University","Geographical residence",98
"Baylor University","State residency",98
"Baylor University","Religious affiliation/commitment",98
"Baylor University","Racial/ethnic status",98
"Baylor University","Volunteer work",80
"Baylor University","Work experience",80
"Baylor University","Level of applicant’s interest",80
"Belmont University","Class rank x",78
"Belmont University","Academic GPA x",42
"Belmont University","Standardized test scores x",42
"Belmont University","Application Essay x",60
"Belmont University","Recommendation(s) x",60
"Belmont University","Interview x",96
"Belmont University","Extracurricular activities x",78
"Belmont University","Talent/ability x",78
"Belmont University","Character/personal qualities x",78
"Belmont University","First generation x",78
"Belmont University","Alumni/ae relation x",78
"Belmont University","Geographical residence x",96
"Belmont University","State residency x",96
"Belmont University","Religious affiliation/commitment x",78
"Belmont University","Racial/ethnic status x",78
"Belmont University","Volunteer work x",78
"Belmont University","Work experience x",78
"Belmont University","Level of applicant’s interest x",96
"Beloit College","Class rank x",78
"Beloit College","Academic GPA x",43
"Beloit College","Standardized test scores x",78
"Beloit College","Application Essay x",43
"Beloit College","Recommendation(s) x",43
"Beloit College","Interview x",78
"Beloit College","Extracurricular activities x",62
"Beloit College","Talent/ability x",62
"Beloit College","Character/personal qualities x",62
"Beloit College","First generation x",78
"Beloit College","Alumni/ae relation x",78
"Beloit College","Geographical residence x",96
"Beloit College","State residency x",96
"Beloit College","Religious affiliation/commitment x",96
"Beloit College","Racial/ethnic status x",78
"Beloit College","Volunteer work x",78
"Beloit College","Work experience x",78
"Beloit College","Level of applicant’s interest x",78
"Binghamton University","Class rank",80
"Binghamton University","Academic GPA",55
"Binghamton University","Standardized test scores (if Submitted)",109
"Binghamton University","Application Essay",80
"Binghamton University","Recommendation(s)",102
"Binghamton University","Interview",124
"Binghamton University","Extracurricular activities",101
"Binghamton University","Talent/ability",101
"Binghamton University","Character/personal qualities",101
"Binghamton University","First generation",101
"Binghamton University","Alumni/ae relation",124
"Binghamton University","Geographical residence",101
"Binghamton University","State residency",124
"Binghamton University","Religious affiliation/commitment",124
"Binghamton University","Racial/ethnic status",101
"Binghamton University","Volunteer work",101
"Binghamton University","Work experience",101
"Binghamton University","Level of applicant’s interest",124
"Boston College","Class rank",62
"Boston College","Academic GPA",43
"Boston College","Standardized test scores",80
"Boston College","Application Essay",62
"Boston College","Recommendation(s)",62
"Boston College","Extracurricular activities",62
"Boston College","Talent/ability",62
"Boston College","Character/personal qualities",62
"Boston College","First generation",80
"Boston College","Geographical residence",99
"Boston College","State residency",99
"Boston College","Religious affiliation/commitment",62
"Boston College","Racial/ethnic status",80
"Boston College","Volunteer work",62
"Boston College","Work experience",80
"Boston College","Level of applicant’s interest",99
"Boston University","Private (nonprofit)",55
"Boston University","Coeducational college",55
"Boston University","Semester",55
"Boston University","Certificate",44
"Boston University","Bachelor's",44
"Boston University","Postbachelor's certificate",44
"Boston University","Master's",44
"Boston University","Post-master's certificate",44
"Boston University","Doctoral - Research and Scholarship",44
"Boston University","Doctoral - Professional Practice",44
"Boston University","Rigor of secondary school record",59
"Boston University","Class rank",73
"Boston University","Academic GPA",59
"Boston University","Standardized test scores",87
"Boston University","Application essay",73
"Boston University","Recommendations",73
"Boston University","Interview",103
"Boston University","Extracurricular activities",73
"Boston University","Talent/ability",103
"Boston University","Character/personal qualities",73
"Boston University","First generation",87
"Boston University","Alumni/ae relation",87
"Boston University","Geographical residence",87
"Boston University","State residency",87
"Boston University","Religious affiliation/commitment",103
"Boston University","Racial/ethnic status",87
"Boston University","Volunteer work",87
"Boston University","Work experience",87
"Boston University","Level of applicant's interest",87
"Bowie State University","Rigor of secondary school record",47
"Bowie State University","Class rank",86
"Bowie State University","Academic GPA",45
"Bowie State University","Standardized test scores",86
"Bowie State University","Application Essay",86
"Bowie State University","Recommendation(s)",86
"Bowie State University","Interview",86
"Bowie State University","Extracurricular activities",66
"Bowie State University","Talent/ability",86
"Bowie State University","Character/personal qualities",86
"Bowie State University","First generation",66
"Bowie State University","Alumni/ae relation",86
"Bowie State University","Geographical residence",86
"Bowie State University","State residency",86
"Bowie State University","Religious affiliation/commitment",86
"Bowie State University","Racial/ethnic status",86
"Bowie State University","Volunteer work",86
"Bowie State University","Work experience",86
"Bowie State University","Level of applicant’s interest",105
"Brigham Young University","Rigor of secondary school record",48
"Brigham Young University","Class rank",104
"Brigham Young University","Academic GPA",46
"Brigham Young University","Standardized test scores",48
"Brigham Young University","Application Essay",48
"Brigham Young University","Recommendation(s)",48
"Brigham Young University","Interview",104
"Brigham Young University","Extracurricular activities",48
"Brigham Young University","Talent/ability",48
"Brigham Young University","Character/personal qualities",48
"Brigham Young University","First generation",67
"Brigham Young University","Alumni/ae relation",104
"Brigham Young University","Geographical residence",104
"Brigham Young University","State residency",104
"Brigham Young University","Religious affiliation/commitment",48
"Brigham Young University","Racial/ethnic status",104
"Brigham Young University","Volunteer work",48
"Brigham Young University","Work experience",48
"Brigham Young University","Level of applicant’s interest",87
"Bryn Mawr College","Rigor of secondary school record",46
"Bryn Mawr College","Class rank",66
"Bryn Mawr College","Academic GPA",64
"Bryn Mawr College","Standardized test scores (if submitted)",93
"Bryn Mawr College","Application Essay",46
"Bryn Mawr College","Recommendation(s)",46
"Bryn Mawr College","Interview",85
"Bryn Mawr College","Extracurricular activities",66
"Bryn Mawr College","Talent/ability",85
"Bryn Mawr College","Character/personal qualities",66
"Bryn Mawr College","First generation",85
"Bryn Mawr College","Alumni/ae relation",85
"Bryn Mawr College","Geographical residence",85
"Bryn Mawr College","State residency",85
"Bryn Mawr College","Religious affiliation/commitment",104
"Bryn Mawr College","Racial/ethnic status",85
"Bryn Mawr College","Volunteer work",85
"Bryn Mawr College","Work experience",85
"Bryn Mawr College","Level of applicant’s interest",104
"Bucknell University","Rigor of secondary school record",46
"Bucknell University","Class rank",85
"Bucknell University","Academic GPA",44
"Bucknell University","Standardized test scores",66
"Bucknell University","Application Essay",46
"Bucknell University","Recommendation(s)",66
"Bucknell University","Interview",104
"Bucknell University","Extracurricular activities",46
"Bucknell University","Talent/ability",46
"Bucknell University","Character/personal qualities",46
"Bucknell University","First generation",85
"Bucknell University","Alumni/ae relation",85
"Bucknell University","Geographical residence",85
"Bucknell University","State residency",104
"Bucknell University","Religious affiliation/commitment",85
"Bucknell University","Racial/ethnic status",85
"Bucknell University","Volunteer work",66
"Bucknell University","Work experience",66
"Bucknell University","Level of applicant’s interest",85
"California State University, Sacramento","Class rank x",102
"California State University, Sacramento","Academic GPA x",45
"California State University, Sacramento","Standardized test scores x",102
"California State University, Sacramento","Application Essay x",102
"California State University, Sacramento","Recommendation(s) x",102
"California State University, Sacramento","Interview x",102
"California State University, Sacramento","Extracurricular activities x",102
"California State University, Sacramento","Talent/ability x",102
"California State University, Sacramento","Character/personal qualities x",102
"California State University, Sacramento","First generation x",102
"California State University, Sacramento","Alumni/ae relation x",102
"California State University, Sacramento","Geographical residence x",102
"California State University, Sacramento","State residency x",83
"California State University, Sacramento","Religious affiliation/commitment x",102
"California State University, Sacramento","Racial/ethnic status x",102
"California State University, Sacramento","Volunteer work x",102
"California State University, Sacramento","Work experience x",102
"California State University, Sacramento","Level of applicant’s interest x",102
"California State University, San Bernardino","Rigor of secondary school record x",103
"California State University, San Bernardino","Class rank x",103
"California State University, San Bernardino","Academic GPA x",44
"California State University, San Bernardino","Standardized test scores x",46
"California State University, San Bernardino","Application Essay x",103
"California State University, San Bernardino","Recommendation(s) x",103
"California State University, San Bernardino","Interview x",103
"California State University, San Bernardino","Extracurricular activities x",103
"California State University, San Bernardino","Talent/ability x",103
"California State University, San Bernardino","Character/personal qualities x",103
"California State University, San Bernardino","First generation x",103
"California State University, San Bernardino","Alumni/ae relation x",103
"California State University, San Bernardino","Geographical residence x",65
"California State University, San Bernardino","State residency x",103
"California State University, San Bernardino","Religious affiliation/commitment x",103
"California State University, San Bernardino","Racial/ethnic status x",103
"California State University, San Bernardino","Volunteer work x",103
"California State University, San Bernardino","Work experience x",103
"California State University, San Bernardino","Level of applicant’s interest x",103
"Central Michigan University","Rigor of secondary school record",44
"Central Michigan University","Class rank",80
"Central Michigan University","Academic GPA",42
"Central Michigan University","Standardized test scores",80
"Central Michigan University","Application Essay",80
"Central Michigan University","Recommendation(s)",80
"Central Michigan University","Interview",80
"Central Michigan University","Extracurricular activities",80
"Central Michigan University","Talent/ability",62
"Central Michigan University","Character/personal qualities",80
"Central Michigan University","First generation",99
"Central Michigan University","Alumni/ae relation",80
"Central Michigan University","Geographical residence",99
"Central Michigan University","State residency",99
"Central Michigan University","Religious affiliation/commitment",99
"Central Michigan University","Racial/ethnic status",99
"Central Michigan University","Volunteer work",80
"Central Michigan University","Work experience",80
"Central Michigan University","Level of applicant’s interest",80
"Claremont McKenna College","Rigor of secondary school record",46
"Claremont McKenna College","Class rank",46
"Claremont McKenna College","Academic GPA",44
"Claremont McKenna College","Standardized test scores",85
"Claremont McKenna College","Application Essay",66
"Claremont McKenna College","Recommendation(s)",46
"Claremont McKenna College","Interview",66
"Claremont McKenna College","Extracurricular activities",46
"Claremont McKenna College","Talent/ability",66
"Claremont McKenna College","Character/personal qualities",46
"Claremont McKenna College","First generation",85
"Claremont McKenna College","Alumni/ae relation",85
"Claremont McKenna College","Geographical residence",85
"Claremont McKenna College","State residency",104
"Claremont McKenna College","Religious affiliation/commitment",104
"Claremont McKenna College","Racial/ethnic status",85
"Claremont McKenna College","Volunteer work",85
"Claremont McKenna College","Work experience",85
"Claremont McKenna College","Level of applicant’s interest",104
"College of the Holy Cross","Rigor of secondary school record x",44
"College of the Holy Cross","Class rank x",82
"College of the Holy Cross","Academic GPA x",42
"College of the Holy Cross","Standardized test scores x",82
"College of the Holy Cross","Application Essay x",44
"College of the Holy Cross","Recommendation(s) x",44
"College of the Holy Cross","Interview x",44
"College of the Holy Cross","Extracurricular activities x",63
"College of the Holy Cross","Talent/ability x",63
"College of the Holy Cross","Character/personal qualities x",44
"College of the Holy Cross","First generation x",82
"College of the Holy Cross","Alumni/ae relation x",82
"College of the Holy Cross","Geographical residence x",82
"College of the Holy Cross","State residency x",82
"College of the Holy Cross","Religious affiliation/commitment x",82
"College of the Holy Cross","Racial/ethnic status x",82
"College of the Holy Cross","Volunteer work x",82
"College of the Holy Cross","Work experience x",82
"College of the Holy Cross","Level of applicant’s interest x",82
"Connecticut College","Rigor of secondary school record x",46
"Connecticut College","Class rank x",46
"Connecticut College","Academic GPA x",44
"Connecticut College","Standardized test scores x",84
"Connecticut College","Application Essay x",65
"Connecticut College","Recommendation(s) x",65
"Connecticut College","Interview x",65
"Connecticut College","Extracurricular activities x",65
"Connecticut College","Talent/ability x",65
"Connecticut College","Character/personal qualities x",46
"Connecticut College","First generation x",84
"Connecticut College","Alumni/ae relation x",84
"Connecticut College","Geographical residence x",84
"Connecticut College","State residency x",84
"Connecticut College","Religious affiliation/commitment x",84
"Connecticut College","Racial/ethnic status x",65
"Connecticut College","Volunteer work x",65
"Connecticut College","Work experience x",65
"Connecticut College","Level of applicant’s interest x",84
"Cornell University","Class rank",61
"Cornell University","Academic GPA",43
"Cornell University","Standardized test scores",80
"Cornell University","Application Essay",43
"Cornell University","Recommendation(s)",43
"Cornell University","Interview",80
"Cornell University","Extracurricular activities",43
"Cornell University","Talent/ability",43
"Cornell University","Character/personal qualities",43
"Cornell University","First generation",80
"Cornell University","Alumni/ae relation",80
"Cornell University","Geographical residence",80
"Cornell University","State residency",80
"Cornell University","Religious affiliation/commitment",98
"Cornell University","Racial/ethnic status",80
"Cornell University","Volunteer work",80
"Cornell University","Work experience",80
"Cornell University","Level of applicant’s interest",98
"Davidson College","Rigor of secondary school record",44
"Davidson College","Class rank",79
"Davidson College","Academic GPA",77
"Davidson College","Standardized test scores",79
"Davidson College","Application Essay",61
"Davidson College","Recommendation(s)",44
"Davidson College","Interview",97
"Davidson College","Extracurricular activities",61
"Davidson College","Talent/ability",61
"Davidson College","Character/personal qualities",44
"Davidson College","Alumni/ae relation",97
"Davidson College","Geographical residence",97
"Davidson College","State residency",97
"Davidson College","Religious affiliation/commitment",97
"Davidson College","Racial/ethnic status",97
"Davidson College","Volunteer work",44
"Davidson College","Work experience",97
"DeSales University","Rigor of secondary school record",62
"DeSales University","Class rank",80
"DeSales University","Academic GPA",64
"DeSales University","Standardized test scores",80
"DeSales University","Application Essay",80
"DeSales University","Recommendation(s)",80
"DeSales University","Interview",80
"DeSales University","Extracurricular activities",99
"DeSales University","Talent/ability",99
"DeSales University","Character/personal qualities",64
"DeSales University","First generation",99
"DeSales University","Alumni/ae relation",117
"DeSales University","Geographical residence",117
"DeSales University","State residency",117
"DeSales University","Religious affiliation/commitment",117
"DeSales University","Racial/ethnic status",124
"DeSales University","Volunteer work",104
"DeSales University","Work experience",104
"DeSales University","Level of applicant’s interest",86
"Dickinson College","Rigor of secondary school record",45
"Dickinson College","Class rank",79
"Dickinson College","Academic GPA",43
"Dickinson College","Standardized test scores",79
"Dickinson College","Application Essay",64
"Dickinson College","Recommendation(s)",45
"Dickinson College","Interview",64
"Dickinson College","Extracurricular activities",45
"Dickinson College","Talent/ability",45
"Dickinson College","Character/personal qualities",45
"Dickinson College","First generation",79
"Dickinson College","Alumni/ae relation",79
"Dickinson College","Geographical residence",64
"Dickinson College","State residency",64
"Dickinson College","Religious affiliation/commitment",97
"Dickinson College","Racial/ethnic status",64
"Dickinson College","Volunteer work",64
"Dickinson College","Work experience",64
"Dickinson College","Level of applicant’s interest",45
"Drake University","Rigor of secondary school record",46
"Drake University","Class rank",103
"Drake University","Academic GPA",44
"Drake University","Standardized test scores",65
"Drake University","Application Essay",65
"Drake University","Recommendation(s)",84
"Drake University","Interview",65
"Drake University","Extracurricular activities",84
"Drake University","Talent/ability",84
"Drake University","Character/personal qualities",84
"Drake University","First generation",84
"Drake University","Alumni/ae relation",84
"Drake University","Geographical residence",103
"Drake University","State residency",103
"Drake University","Religious affiliation/commitment",103
"Drake University","Racial/ethnic status",84
"Drake University","Volunteer work",84
"Drake University","Work experience",84
"Drake University","Level of applicant’s interest",84
"Drexel University","Rigor of secondary school record x",44
"Drexel University","Class rank x",44
"Drexel University","Academic GPA x",42
"Drexel University","Standardized test scores x",44
"Drexel University","Application Essay x",61
"Drexel University","Recommendation(s) x",61
"Drexel University","Interview x",79
"Drexel University","Extracurricular activities x",79
"Drexel University","Talent/ability x",79
"Drexel University","Character/personal qualities x",61
"Drexel University","First generation x",79
"Drexel University","Alumni/ae relation x",79
"Drexel University","Geographical residence x",97
"Drexel University","State residency x",97
"Drexel University","Religious affiliation/commitment x",97
"Drexel University","Racial/ethnic status x",97
"Drexel University","Volunteer work x",79
"Drexel University","Work experience x",79
"Drexel University","Level of applicant’s interest x",79
"Duke University","Academic GPA",42
"Duke University","Standardized test scores",42
"Duke University","Application Essay",42
"Duke University","Recommendation(s)",42
"Duke University","Interview",78
"Duke University","Extracurricular activities",42
"Duke University","Talent/ability",42
"Duke University","Character/personal qualities",42
"Duke University","First generation",78
"Duke University","Alumni/ae relation",78
"Duke University","Geographical residence",78
"Duke University","State residency",78
"Duke University","Religious affiliation/commitment",78
"Duke University","Racial/ethnic status",78
"Duke University","Volunteer work",78
"Duke University","Work experience",78
"Duke University","Level of applicant’s interest",78
"Duquesne University","Rigor of secondary school record",47
"Duquesne University","Class rank",66
"Duquesne University","Academic GPA",47
"Duquesne University","Standardized test scores",47
"Duquesne University","Application Essay",85
"Duquesne University","Recommendation(s)",85
"Duquesne University","Interview",85
"Duquesne University","Extracurricular activities",66
"Duquesne University","Talent/ability",66
"Duquesne University","Character/personal qualities",66
"Duquesne University","First generation",85
"Duquesne University","Alumni/ae relation",85
"Duquesne University","Geographical residence",85
"Duquesne University","State residency",85
"Duquesne University","Religious affiliation/commitment",85
"Duquesne University","Racial/ethnic status",85
"Duquesne University","Volunteer work",66
"Duquesne University","Work experience",66
"Duquesne University","Level of applicant’s interest",85
"East Carolina University","Rigor of secondary school record",47
"East Carolina University","Class rank",66
"East Carolina University","Academic GPA",45
"East Carolina University","Standardized test scores x",105
"East Carolina University","Application Essay x",47
"East Carolina University","Recommendation(s)",104
"East Carolina University","Interview",104
"East Carolina University","Extracurricular activities",85
"East Carolina University","Talent/ability",85
"East Carolina University","Character/personal qualities",85
"East Carolina University","First generation",85
"East Carolina University","Alumni/ae relation",85
"East Carolina University","Geographical residence",104
"East Carolina University","State residency",47
"East Carolina University","Religious affiliation/commitment",104
"East Carolina University","Racial/ethnic status",104
"East Carolina University","Volunteer work",85
"East Carolina University","Work experience",85
"East Carolina University","Level of applicant’s interest",85
"EASTERN UNIVERSITY","Rigor of secondary school record",97
"EASTERN UNIVERSITY","Class rank",97
"EASTERN UNIVERSITY","Academic GPA",54
"EASTERN UNIVERSITY","Standardized test scores",97
"EASTERN UNIVERSITY","Application Essay",97
"EASTERN UNIVERSITY","Recommendation(s)",97
"EASTERN UNIVERSITY","Interview",96
"EASTERN UNIVERSITY","Extracurricular activities",96
"EASTERN UNIVERSITY","Talent/ability (auditions for fine arts program)",113
"EASTERN UNIVERSITY","Character/personal qualities",97
"EASTERN UNIVERSITY","First generation",97
"EASTERN UNIVERSITY","Alumni/ae relation",97
"EASTERN UNIVERSITY","Geographical residence",117
"EASTERN UNIVERSITY","State residency",117
"EASTERN UNIVERSITY","Religious affiliation/commitment",97
"EASTERN UNIVERSITY","Racial/ethnic status",117
"EASTERN UNIVERSITY","Volunteer work",97
"EASTERN UNIVERSITY","Work experience",97
"EASTERN UNIVERSITY","Level of applicant’s interest",97
"Fairfield University","Rigor of secondary school record x",48
"Fairfield University","Class rank x",86
"Fairfield University","Academic GPA x",46
"Fairfield University","Standardized test scores x",86
"Fairfield University","Application Essay x",48
"Fairfield University","Recommendation(s) x",48
"Fairfield University","Interview x",67
"Fairfield University","Extracurricular activities x",67
"Fairfield University","Talent/ability x",67
"Fairfield University","Character/personal qualities x",67
"Fairfield University","First generation x",67
"Fairfield University","Alumni/ae relation x",86
"Fairfield University","Geographical residence x",86
"Fairfield University","State residency x",105
"Fairfield University","Religious affiliation/commitment x",105
"Fairfield University","Racial/ethnic status x",86
"Fairfield University","Volunteer work x",67
"Fairfield University","Work experience x",67
"Fairfield University","Level of applicant’s interest x",67
"Flagler College","Rigor of secondary school record x",66
"Flagler College","Class rank x",104
"Flagler College","Academic GPA x",45
"Flagler College","Standardized test scores x",66
"Flagler College","Application Essay x",66
"Flagler College","Recommendation(s) x",66
"Flagler College","Interview x",104
"Flagler College","Extracurricular activities x",85
"Flagler College","Talent/ability x",104
"Flagler College","Character/personal qualities x",85
"Flagler College","First generation x",66
"Flagler College","Alumni/ae relation x",85
"Flagler College","Geographical residence x",66
"Flagler College","State residency x",104
"Flagler College","Religious affiliation/commitment x",104
"Flagler College","Racial/ethnic status x",104
"Flagler College","Volunteer work x",85
"Flagler College","Work experience x",85
"Flagler College","Level of applicant’s interest x",85
"FLORIDA INTERNATIONAL UNIVERSITY","Rigor of secondary school record",45
"FLORIDA INTERNATIONAL UNIVERSITY","Class rank",45
"FLORIDA INTERNATIONAL UNIVERSITY","Academic GPA",43
"FLORIDA INTERNATIONAL UNIVERSITY","Standardized test scores",45
"FLORIDA INTERNATIONAL UNIVERSITY","Application Essay",80
"FLORIDA INTERNATIONAL UNIVERSITY","Recommendation(s)",80
"FLORIDA INTERNATIONAL UNIVERSITY","Interview",98
"FLORIDA INTERNATIONAL UNIVERSITY","Extracurricular activities",80
"FLORIDA INTERNATIONAL UNIVERSITY","Talent/ability",80
"FLORIDA INTERNATIONAL UNIVERSITY","Character/personal qualities",80
"FLORIDA INTERNATIONAL UNIVERSITY","First generation",80
"FLORIDA INTERNATIONAL UNIVERSITY","Alumni/ae relation",80
"FLORIDA INTERNATIONAL UNIVERSITY","Geographical residence",80
"FLORIDA INTERNATIONAL UNIVERSITY","State residency",80
"FLORIDA INTERNATIONAL UNIVERSITY","Religious affiliation/commitment",98
"FLORIDA INTERNATIONAL UNIVERSITY","Racial/ethnic status",98
"FLORIDA INTERNATIONAL UNIVERSITY","Volunteer work",80
"FLORIDA INTERNATIONAL UNIVERSITY","Work experience",80
"FLORIDA INTERNATIONAL UNIVERSITY","Level of applicant’s interest",80
"Florida Polytechnic University","Rigor of secondary school record x",45
"Florida Polytechnic University","Class rank x",63
"Florida Polytechnic University","Academic GPA x",43
"Florida Polytechnic University","Standardized test scores x",45
"Florida Polytechnic University","Application Essay x",63
"Florida Polytechnic University","Recommendation(s) x",63
